±

# Run complete. Total time: 00:05:05
REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.
d.c.vector.Consume.getLast                                 1000    ss    5       2,060 ±     1,174  us/op
d.c.vector.Consume.getLast                                10000    ss    5       1,940 ±     0,439  us/op
d.c.vector.Consume.recursiveSplit                             1    ss    5       2,180 ±     1,136  us/op
d.c.vector.Consume.recursiveSplit                            10    ss    5      36,620 ±     9,287  us/op
d.c.vector.Consume.recursiveSplit                           100    ss    5     394,840 ±   423,705  us/op
d.c.vector.Consume.recursiveSplit                          1000    ss    5     371,560 ±    77,373  us/op
d.c.vector.Consume.recursiveSplit                         10000    ss    5    1925,020 ±   556,725  us/op
d.c.vector.MapAndFlatMap.flatMap                              1    ss    5      54,780 ±    61,941  us/op
d.c.vector.MapAndFlatMap.flatMap                             10    ss    5     133,840 ±   101,105  us/op
d.c.vector.MapAndFlatMap.flatMap                            100    ss    5     951,100 ±   306,388  us/op
d.c.vector.MapAndFlatMap.flatMap                           1000    ss    5    1178,800 ±   656,540  us/op
d.c.vector.MapAndFlatMap.flatMap                          10000    ss    5    6253,160 ±  2202,904  us/op
d.c.vector.MapAndFlatMap.flatMap100                           1    ss    5    1657,780 ±   207,868  us/op
d.c.vector.MapAndFlatMap.flatMap100                          10    ss    5     414,360 ±   272,551  us/op
d.c.vector.MapAndFlatMap.flatMap100                         100    ss    5    2127,680 ±   419,842  us/op
d.c.vector.MapAndFlatMap.flatMap100                        1000    ss    5    2499,920 ±   541,935  us/op
d.c.vector.MapAndFlatMap.flatMap100                       10000    ss    5   15252,100 ± 10518,023  us/op
d.c.vector.MapAndFlatMap.flatMap2                             1    ss    5     360,140 ±   141,537  us/op
d.c.vector.MapAndFlatMap.flatMap2                            10    ss    5      71,180 ±    55,738  us/op
d.c.vector.MapAndFlatMap.flatMap2                           100    ss    5     419,180 ±   403,313  us/op
d.c.vector.MapAndFlatMap.flatMap2                          1000    ss    5     517,500 ±    69,737  us/op
d.c.vector.MapAndFlatMap.flatMap2                         10000    ss    5    2800,280 ±   551,677  us/op
d.c.vector.MapAndFlatMap.flatMap2_100                         1    ss    5     343,300 ±   124,038  us/op
d.c.vector.MapAndFlatMap.flatMap2_100                        10    ss    5     158,560 ±   107,806  us/op
d.c.vector.MapAndFlatMap.flatMap2_100                       100    ss    5    1044,560 ±   204,437  us/op
d.c.vector.MapAndFlatMap.flatMap2_100                      1000    ss    5    1204,040 ±   264,236  us/op
d.c.vector.MapAndFlatMap.flatMap2_100                     10000    ss    5    7960,120 ±  7045,237  us/op
d.c.vector.MapAndFlatMap.mapElementsToTheirDoubleValue        1    ss    5      23,300 ±    50,529  us/op
d.c.vector.MapAndFlatMap.mapElementsToTheirDoubleValue       10    ss    5      17,780 ±    38,870  us/op
d.c.vector.MapAndFlatMap.mapElementsToTheirDoubleValue      100    ss    5      47,900 ±    65,987  us/op
d.c.vector.MapAndFlatMap.mapElementsToTheirDoubleValue     1000    ss    5      73,500 ±    42,376  us/op
d.c.vector.MapAndFlatMap.mapElementsToTheirDoubleValue    10000    ss    5     523,840 ±   137,517  us/op

d.c.vector.Set.set10PercentRandom                             1    ss    5       4,580 ±     1,574  us/op
d.c.vector.Set.set10PercentRandom                            10    ss    5      11,540 ±    22,099  us/op
d.c.vector.Set.set10PercentRandom                           100    ss    5      22,520 ±    15,873  us/op
d.c.vector.Set.set10PercentRandom                          1000    ss    5     164,480 ±   281,743  us/op
d.c.vector.Set.set10PercentRandom                         10000    ss    5     516,240 ±    72,978  us/op

d.c.vector.Set.set10PercentSequential                         1    ss    5       4,140 ±     1,777  us/op
d.c.vector.Set.set10PercentSequential                        10    ss    5      16,700 ±    32,586  us/op
d.c.vector.Set.set10PercentSequential                       100    ss    5      19,060 ±     6,177  us/op
d.c.vector.Set.set10PercentSequential                      1000    ss    5     136,820 ±   119,112  us/op
d.c.vector.Set.set10PercentSequential                     10000    ss    5     552,500 ±   147,808  us/op

d.c.vector.Set.setAllRandom                                   1    ss    5      23,000 ±    50,414  us/op
d.c.vector.Set.setAllRandom                                  10    ss    5      15,980 ±    14,545  us/op
d.c.vector.Set.setAllRandom                                 100    ss    5     148,940 ±    95,985  us/op
d.c.vector.Set.setAllRandom                                1000    ss    5     370,540 ±    43,313  us/op
d.c.vector.Set.setAllRandom                               10000    ss    5    6947,560 ±  1288,058  us/op

d.c.vector.Set.setAllSequential                               1    ss    5      25,120 ±    46,724  us/op
d.c.vector.Set.setAllSequential                              10    ss    5      14,800 ±    14,625  us/op
d.c.vector.Set.setAllSequential                             100    ss    5     175,820 ±   326,274  us/op
d.c.vector.Set.setAllSequential                            1000    ss    5     387,480 ±    73,256  us/op
d.c.vector.Set.setAllSequential                           10000    ss    5    6234,400 ±   919,395  us/op

Total time: 310 s (05:10), completed 21.11.2022, 09:13:54
