# Run complete. Total time: 11:20:46

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.
d.c.fpl.Set.set10PercentRandom                           10000  avgt   15   1406,225 ±  22,206  us/op

d.c.fpl.Set.set10PercentSequential                           1  avgt   15      0,001 ±   0,001  us/op
d.c.fpl.Set.set10PercentSequential                          10  avgt   15      0,030 ±   0,001  us/op
d.c.fpl.Set.set10PercentSequential                         100  avgt   15      0,573 ±   0,005  us/op
d.c.fpl.Set.set10PercentSequential                        1000  avgt   15     26,293 ±   0,151  us/op
d.c.fpl.Set.set10PercentSequential                       10000  avgt   15   1437,555 ±  16,956  us/op

d.c.fpl.Set.setAllRandom                                     1  avgt   15      0,014 ±   0,001  us/op
d.c.fpl.Set.setAllRandom                                    10  avgt   15      0,311 ±   0,005  us/op
d.c.fpl.Set.setAllRandom                                   100  avgt   15      5,880 ±   0,100  us/op
d.c.fpl.Set.setAllRandom                                  1000  avgt   15    261,919 ±   1,381  us/op
d.c.fpl.Set.setAllRandom                                 10000  avgt   15  14273,027 ± 220,203  us/op

d.c.fpl.Set.setAllSequential                                 1  avgt   15      0,014 ±   0,001  us/op
d.c.fpl.Set.setAllSequential                                10  avgt   15      0,302 ±   0,003  us/op
d.c.fpl.Set.setAllSequential                               100  avgt   15      5,619 ±   0,075  us/op
d.c.fpl.Set.setAllSequential                              1000  avgt   15    263,042 ±   1,445  us/op
d.c.fpl.Set.setAllSequential                             10000  avgt   15  14250,198 ± 314,836  us/op

d.c.linked.Construct.appendAtStart                           1  avgt   15      0,005 ±   0,001  us/op
d.c.linked.Construct.appendAtStart                          10  avgt   15      0,043 ±   0,002  us/op
d.c.linked.Construct.appendAtStart                         100  avgt   15      0,397 ±   0,021  us/op
d.c.linked.Construct.appendAtStart                        1000  avgt   15      5,152 ±   0,035  us/op
d.c.linked.Construct.appendAtStart                       10000  avgt   15     53,158 ±   0,336  us/op

d.c.linked.Construct.constructFromIterator                   1  avgt   15      0,005 ±   0,001  us/op
d.c.linked.Construct.constructFromIterator                  10  avgt   15      0,030 ±   0,002  us/op
d.c.linked.Construct.constructFromIterator                 100  avgt   15      0,256 ±   0,002  us/op
d.c.linked.Construct.constructFromIterator                1000  avgt   15      3,713 ±   0,022  us/op
d.c.linked.Construct.constructFromIterator               10000  avgt   15     38,403 ±   0,275  us/op

d.c.linked.Consume.consumeFromStart                          1  avgt   15      0,002 ±   0,001  us/op
d.c.linked.Consume.consumeFromStart                         10  avgt   15      0,026 ±   0,001  us/op
d.c.linked.Consume.consumeFromStart                        100  avgt   15      0,205 ±   0,001  us/op
d.c.linked.Consume.consumeFromStart                       1000  avgt   15      2,104 ±   0,031  us/op
d.c.linked.Consume.consumeFromStart                      10000  avgt   15     23,739 ±   0,872  us/op

d.c.linked.Consume.getAllByIterator                          1  avgt   15      0,003 ±   0,001  us/op
d.c.linked.Consume.getAllByIterator                         10  avgt   15      0,026 ±   0,001  us/op
d.c.linked.Consume.getAllByIterator                        100  avgt   15      0,251 ±   0,001  us/op
d.c.linked.Consume.getAllByIterator                       1000  avgt   15      2,645 ±   0,189  us/op
d.c.linked.Consume.getAllByIterator                      10000  avgt   15     25,261 ±   0,259  us/op

d.c.linked.Consume.getAllRandomly                            1  avgt   15      0,003 ±   0,001  us/op
d.c.linked.Consume.getAllRandomly                           10  avgt   15      0,039 ±   0,001  us/op
d.c.linked.Consume.getAllRandomly                          100  avgt   15      3,295 ±   0,014  us/op
d.c.linked.Consume.getAllRandomly                         1000  avgt   15    499,337 ±   0,605  us/op
d.c.linked.Consume.getAllRandomly                        10000  avgt   15  53498,101 ±  52,947  us/op

d.c.linked.MapAndFlatMap.flatMap                             1  avgt   15      0,027 ±   0,001  us/op
d.c.linked.MapAndFlatMap.flatMap                            10  avgt   15      0,243 ±   0,003  us/op
d.c.linked.MapAndFlatMap.flatMap                           100  avgt   15      2,320 ±   0,052  us/op
d.c.linked.MapAndFlatMap.flatMap                          1000  avgt   15     23,750 ±   0,860  us/op
d.c.linked.MapAndFlatMap.flatMap                         10000  avgt   15    238,712 ±   6,482  us/op

d.c.linked.MapAndFlatMap.flatMap100                          1  avgt   15      0,289 ±   0,002  us/op
d.c.linked.MapAndFlatMap.flatMap100                         10  avgt   15      2,555 ±   0,058  us/op
d.c.linked.MapAndFlatMap.flatMap100                        100  avgt   15     26,688 ±   0,158  us/op
d.c.linked.MapAndFlatMap.flatMap100                       1000  avgt   15    312,953 ±   2,574  us/op
d.c.linked.MapAndFlatMap.flatMap100                      10000  avgt   15   3499,554 ± 170,346  us/op

d.c.linked.MapAndFlatMap.mapElementsToTheirDoubleValue       1  avgt   15      0,006 ±   0,001  us/op
d.c.linked.MapAndFlatMap.mapElementsToTheirDoubleValue      10  avgt   15      0,035 ±   0,002  us/op
d.c.linked.MapAndFlatMap.mapElementsToTheirDoubleValue     100  avgt   15      0,359 ±   0,006  us/op
d.c.linked.MapAndFlatMap.mapElementsToTheirDoubleValue    1000  avgt   15      3,982 ±   0,035  us/op
d.c.linked.MapAndFlatMap.mapElementsToTheirDoubleValue   10000  avgt   15     40,626 ±   0,365  us/op

