"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size"
"de.codecentric.fpl.Set.set10PercentSequential","avgt",1,15,"0,000640","0,000005","us/op",1
"de.codecentric.fpl.Set.set10PercentSequential","avgt",1,15,"0,030107","0,000397","us/op",10
"de.codecentric.fpl.Set.set10PercentSequential","avgt",1,15,"0,573195","0,005042","us/op",100
"de.codecentric.fpl.Set.set10PercentSequential","avgt",1,15,"26,293067","0,151227","us/op",1000
"de.codecentric.fpl.Set.set10PercentSequential","avgt",1,15,"1437,555146","16,955842","us/op",10000
"de.codecentric.fpl.Set.setAllRandom","avgt",1,15,"0,014235","0,000199","us/op",1
"de.codecentric.fpl.Set.setAllRandom","avgt",1,15,"0,310727","0,004622","us/op",10
"de.codecentric.fpl.Set.setAllRandom","avgt",1,15,"5,879984","0,099601","us/op",100
"de.codecentric.fpl.Set.setAllRandom","avgt",1,15,"261,919268","1,381400","us/op",1000
"de.codecentric.fpl.Set.setAllRandom","avgt",1,15,"14273,027176","220,203275","us/op",10000
"de.codecentric.fpl.Set.setAllSequential","avgt",1,15,"0,014253","0,000496","us/op",1
"de.codecentric.fpl.Set.setAllSequential","avgt",1,15,"0,302090","0,003298","us/op",10
"de.codecentric.fpl.Set.setAllSequential","avgt",1,15,"5,618545","0,074657","us/op",100
"de.codecentric.fpl.Set.setAllSequential","avgt",1,15,"263,041717","1,445130","us/op",1000
"de.codecentric.fpl.Set.setAllSequential","avgt",1,15,"14250,198269","314,836378","us/op",10000
"de.codecentric.linked.Construct.appendAtStart","avgt",1,15,"0,005334","0,000233","us/op",1
"de.codecentric.linked.Construct.appendAtStart","avgt",1,15,"0,042808","0,001822","us/op",10
"de.codecentric.linked.Construct.appendAtStart","avgt",1,15,"0,397221","0,021120","us/op",100
"de.codecentric.linked.Construct.appendAtStart","avgt",1,15,"5,152242","0,034844","us/op",1000
"de.codecentric.linked.Construct.appendAtStart","avgt",1,15,"53,157543","0,335729","us/op",10000
"de.codecentric.linked.Construct.constructFromIterator","avgt",1,15,"0,005242","0,000117","us/op",1
"de.codecentric.linked.Construct.constructFromIterator","avgt",1,15,"0,029754","0,002024","us/op",10
"de.codecentric.linked.Construct.constructFromIterator","avgt",1,15,"0,255793","0,002209","us/op",100
"de.codecentric.linked.Construct.constructFromIterator","avgt",1,15,"3,712557","0,021751","us/op",1000
"de.codecentric.linked.Construct.constructFromIterator","avgt",1,15,"38,403146","0,274844","us/op",10000
"de.codecentric.linked.Consume.consumeFromStart","avgt",1,15,"0,002477","0,000022","us/op",1
"de.codecentric.linked.Consume.consumeFromStart","avgt",1,15,"0,025728","0,000481","us/op",10
"de.codecentric.linked.Consume.consumeFromStart","avgt",1,15,"0,205304","0,001319","us/op",100
"de.codecentric.linked.Consume.consumeFromStart","avgt",1,15,"2,104392","0,030900","us/op",1000
"de.codecentric.linked.Consume.consumeFromStart","avgt",1,15,"23,739179","0,871851","us/op",10000
"de.codecentric.linked.Consume.getAllByIterator","avgt",1,15,"0,002842","0,000236","us/op",1
"de.codecentric.linked.Consume.getAllByIterator","avgt",1,15,"0,025564","0,000636","us/op",10
"de.codecentric.linked.Consume.getAllByIterator","avgt",1,15,"0,250844","0,001269","us/op",100
"de.codecentric.linked.Consume.getAllByIterator","avgt",1,15,"2,644505","0,189144","us/op",1000
"de.codecentric.linked.Consume.getAllByIterator","avgt",1,15,"25,260626","0,258824","us/op",10000
"de.codecentric.linked.Consume.getAllRandomly","avgt",1,15,"0,003019","0,000034","us/op",1
"de.codecentric.linked.Consume.getAllRandomly","avgt",1,15,"0,039275","0,000688","us/op",10
"de.codecentric.linked.Consume.getAllRandomly","avgt",1,15,"3,294917","0,013744","us/op",100
"de.codecentric.linked.Consume.getAllRandomly","avgt",1,15,"499,336580","0,605281","us/op",1000
"de.codecentric.linked.Consume.getAllRandomly","avgt",1,15,"53498,100702","52,947038","us/op",10000
"de.codecentric.linked.MapAndFlatMap.flatMap","avgt",1,15,"0,027296","0,000344","us/op",1
"de.codecentric.linked.MapAndFlatMap.flatMap","avgt",1,15,"0,243178","0,002517","us/op",10
"de.codecentric.linked.MapAndFlatMap.flatMap","avgt",1,15,"2,319741","0,052140","us/op",100
"de.codecentric.linked.MapAndFlatMap.flatMap","avgt",1,15,"23,749663","0,860085","us/op",1000
"de.codecentric.linked.MapAndFlatMap.flatMap","avgt",1,15,"238,711776","6,482420","us/op",10000
"de.codecentric.linked.MapAndFlatMap.flatMap100","avgt",1,15,"0,289010","0,002413","us/op",1
"de.codecentric.linked.MapAndFlatMap.flatMap100","avgt",1,15,"2,554808","0,057817","us/op",10
"de.codecentric.linked.MapAndFlatMap.flatMap100","avgt",1,15,"26,687917","0,157845","us/op",100
"de.codecentric.linked.MapAndFlatMap.flatMap100","avgt",1,15,"312,953176","2,573505","us/op",1000
"de.codecentric.linked.MapAndFlatMap.flatMap100","avgt",1,15,"3499,553684","170,346281","us/op",10000
"de.codecentric.linked.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"0,005548","0,000090","us/op",1
"de.codecentric.linked.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"0,035348","0,002163","us/op",10
"de.codecentric.linked.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"0,358860","0,005695","us/op",100
"de.codecentric.linked.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"3,981927","0,035108","us/op",1000
"de.codecentric.linked.MapAndFlatMap.mapElementsToTheirDoubleValue","avgt",1,15,"40,626147","0,364649","us/op",10000
